Hanzi	Keyword	Traditional	Strokes	Number	Lesson	Pinyin	Notes	Frequency	No Frequent	Pinyin2	Meaning						
一	One		1	1	1	yī		1,57656778	2	yi1	one/1/single/a(n)						
二	Two		2	2	1	èr		0,138243124	157	er4	two/2						
三	Three		3	3	1	{sān,sàn}		0,157243247	125	san1	three/3						
四	Four		5	4	1	sì		0,095540135	226	si4	four/4						
五	Five		4	5	1	wǔ		0,079748215	279	wu3	five/5						
六	Six		4	6	1	{liù,lù}		0,044355668	478	liu4	six/6						
七	Seven		2	7	1	qī		0,039671528	530	qi1	seven/7						
八	Eight		2	8	1	bā		0,047905982	451	ba1	eight/8						
九	Nine		2	9	1	jiǔ		0,048877538	445	jiu3	nine/9						
十	Ten		2	10	1	shí		0,175166389	112	shi2	ten/10						
口	Mouth		3	11	1	kǒu		0,099189672	212	kou3	mouth/(a measure word)						
日	Day		4	12	1	{rì,mì}		0,187987311	101	ri4	Japan/day/sun/date/day of the month						
月	Month		4	13	1	yuè		0,124320933	169	yue4	moon/month						
田	Rice Field		5	14	1	tián		0,023713203	778	tian2	(surname)/field/farm						
目	Eye		5	15	1	mù		0,093448706	239	mu4	eye/item/section/list/catalogue/table of contents/order (taxonomy)/goal/name/title						
叭	trumpet	叭		1501	1	Bā			2704	ba1	denote a sound or sharp noise (gunfire, etc.)						
古	Ancient		5	16	2	gǔ		0,041577431	509	gu3	ancient/old						
胡	Recklessly		9	17	2	hú		0,022324601	806	hu2	(surname)/beard/what why how, beard/mustache						
叶	Leaf		5	18	2	{xié,yè,shè}		0,018620802	920	ye4	(surname)/leaf/page						
吾	I (literary)		7	19	2	wú		0,005764221	1649	wu2	I/my						
朋	Companion		8	20	2	péng		0,019777884	882	peng2	friend						
明	Bright		8	21	2	míng		0,16013776	121	ming2	clear/bright/to understand/next/the Ming dynasty						
唱	Sing		11	22	2	chàng		0,010379629	1252	chang4	sing/to call loudly/to chant						
晶	Sparkling		12	23	2	jīng		0,005187489	1725	jing1	crystal						
品	Goods		9	24	2	pǐn		0,071589211	308	pin3	conduct/grade/thing/product/good						
昌	Prosperous		8	25	2	chāng		0,006091346	1606	chang1	prosperous/flourish						
早	Early		6	26	2	zǎo		0,046315834	462	zao3	early/morning						
旭	Rising Sun		6	27	2	xù		0,001209794	2846	xu4	dawn/rising sun						
世	Generation		5	28	2	shì		0,111103636	181	shi4	life/age/generation/era/world/lifetime						
胃	Stomach		9	29	2	wèi		0,003892942	1957	wei4	stomach						
旦	Daybreak		5	30	2	dàn		0,009596183	1300	dan4	dawn/morning/day-break/day						
